"2022-07-05 00:00:46 [main] INFO  c.c.d.controller.StockControllerTest - Starting StockControllerTest using Java 16.0.1 on LAPTOP-CJKHE4KD with PID 72748 (started by mdsai in C:\Users\mdsai\Downloads\5_6143241665072072678\Portfolio project\DailySharePrice1\DailySharePrice)
""2022-07-05 00:00:51 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
""2022-07-05 00:00:51 [main] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:pms'
""2022-07-05 00:00:52 [main] INFO  c.c.d.DailySharePriceApplicationTests - Started DailySharePriceApplicationTests in 3.264 seconds (JVM running for 7.175)
""2022-07-05 00:00:52 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.cts.dailyshareprice.model.StockTest], using SpringBootContextLoader
""2022-07-05 00:00:52 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.cts.dailyshareprice.model.StockTest]: no resource found for suffixes {-context.xml, Context.groovy}.
""2022-07-05 00:00:52 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.cts.dailyshareprice.model.StockTest]: StockTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
""2022-07-05 00:00:52 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.cts.dailyshareprice.DailySharePriceApplication for test class com.cts.dailyshareprice.model.StockTest
""2022-07-05 00:00:52 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
""2022-07-05 00:00:52 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@5f84e764, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5eaab295, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@1e95fc31, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@395ac2e5, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@419dbd6d, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4a2891d1, org.springframework.test.context.transaction.TransactionalTestExecutionListener@7b6d88d1, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@14cf30b3, org.springframework.test.context.event.EventPublishingTestExecutionListener@38159192, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@363d3958, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@2181144e, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4ca6e265, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@582b6362, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@70376c6, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@2e89310c]
""2022-07-05 00:00:52 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.cts.dailyshareprice.service.StockServiceTest], using SpringBootContextLoader
""2022-07-05 00:00:52 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.cts.dailyshareprice.service.StockServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
""2022-07-05 00:00:52 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.cts.dailyshareprice.service.StockServiceTest]: StockServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
""2022-07-05 00:00:52 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.cts.dailyshareprice.DailySharePriceApplication for test class com.cts.dailyshareprice.service.StockServiceTest
""2022-07-05 00:00:52 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
""2022-07-05 00:00:52 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@466a5b80, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@f6921b7, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@19cee7ed, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@4e8e0052, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@5a2ce458, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1c8e1233, org.springframework.test.context.transaction.TransactionalTestExecutionListener@72117fc0, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4ca37d40, org.springframework.test.context.event.EventPublishingTestExecutionListener@71904ea8, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1d63c523, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@64f55630, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@336b6e93, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@40fd9358, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@43b41cb9, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@d3e9629]
""2022-07-05 00:00:52 [main] INFO  c.c.d.service.StockServiceTest - Starting StockServiceTest using Java 16.0.1 on LAPTOP-CJKHE4KD with PID 72748 (started by mdsai in C:\Users\mdsai\Downloads\5_6143241665072072678\Portfolio project\DailySharePrice1\DailySharePrice)
""2022-07-05 00:00:52 [main] INFO  c.c.d.service.StockServiceTest - No active profile set, falling back to 1 default profile: "default"
""2022-07-05 00:00:52 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
""2022-07-05 00:00:52 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10 ms. Found 1 JPA repository interfaces.
""2022-07-05 00:00:52 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=109bdc88-ebfb-360d-be19-7e3371642d53
""2022-07-05 00:00:52 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Starting...
""2022-07-05 00:00:52 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Start completed.
""2022-07-05 00:00:52 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
""2022-07-05 00:00:52 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
""2022-07-05 00:00:52 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
""2022-07-05 00:00:52 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
""2022-07-05 00:00:52 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
""2022-07-05 00:00:53 [main] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:pms'
""2022-07-05 00:00:53 [main] INFO  c.c.d.service.StockServiceTest - Started StockServiceTest in 1.3 seconds (JVM running for 8.606)
""2022-07-05 00:00:53 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
""2022-07-05 00:00:53 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
""2022-07-05 00:00:53 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
""2022-07-05 00:00:53 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
""2022-07-05 00:00:53 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Shutdown initiated...
""2022-07-05 00:00:53 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Shutdown completed.
